id,name,state,user_difined,user_id,create_date,modify_date,status,user_defined
92,Larkird,3885,,,,,1,0
93,Lashkar G?h,3873,,,,,1,0
94,Markaz-e Woluswal?-ye ?ch?n,3882,,,,,1,0
95,Markaz-e ?uk?mat-e Darw?sh?n,3873,,,,,1,0
96,Maymana,3889,,,,,1,0
97,Maz?r-e Shar?f,3884,,,,,1,0
98,Mehtar L?m,3891,,,,,1,0
99,M?r Bachah K??,3902,,,,,1,0
100,M?r?b?d,3896,,,,,1,0
101,Nahr?n,3875,,,,,1,0
102,N?l?,3892,,,,,1,0
103,Paghm?n,3902,,,,,1,0
104,Panj?b,3872,,,,,1,0
105,Pul-e Khumr?,3875,,,,,1,0
106,Pul-e ‘Alam,3897,,,,,1,0
107,P?r?n,3880,,,,,1,0
108,Qala i Naw,3871,,,,,1,0
109,Qal?t,3874,,,,,1,0
110,Qal‘ah-ye Shahr,3885,,,,,1,0
111,Qarah B?gh,3887,,,,,1,0
112,Qarch? Gak,3884,,,,,1,0
113,Qarq?n,3886,,,,,1,0
114,Qar?wul,3900,,,,,1,0
115,R?ghist?n,3901,,,,,1,0
116,R?db?r,3896,,,,,1,0
117,Sang-e Ch?rak,3885,,,,,1,0
118,Sang?n,3873,,,,,1,0
119,Sar-e Pul,3885,,,,,1,0
120,Sa??b?,3877,,,,,1,0
121,Shahrak,3888,,,,,1,0
122,Shibirgh?n,3886,,,,,1,0
123,Sh?n?an?,3887,,,,,1,0
124,Sidq?b?d,3879,,,,,1,0
125,Tag?w-B?y,3885,,,,,1,0
126,Taloqan,3893,,,,,1,0
127,Tarinkot,3898,,,,,1,0
128,Tukz?r,3885,,,,,1,0
129,T?r Pul,3887,,,,,1,0
130,Uruzg?n,3898,,,,,1,0
131,W?kh?n,3901,,,,,1,0
132,Zaranj,3896,,,,,1,0
133,Zargh?n Shahr,3877,,,,,1,0
134,Za?ah Sharan,3877,,,,,1,0
135,Zindah J?n,3887,,,,,1,0
136,?qchah,3886,,,,,1,0
137,?rt Khw?jah,3893,,,,,1,0
138,?sm?r,3876,,,,,1,0
139,?uk?mat? Azrah,3897,,,,,1,0
140,?uk?mat? Dahanah-ye Gh?r?,3875,,,,,1,0
141,‘Al?qahd?r? D?sh?,3873,,,,,1,0
142,All Saints,3704,,,,,1,0
143,Bolands,3707,,,,,1,0
144,Codrington,3708,,,,,1,0
145,Falmouth,3705,,,,,1,0
146,Liberta,3705,,,,,1,0
147,Parham,3704,,,,,1,0
148,Piggotts,3709,,,,,1,0
149,Potters Village,3706,,,,,1,0
150,Saint John’s,3706,,,,,1,0
151,Bajram Curri,623,,,,,1,0
152,Ballsh,631,,,,,1,0
153,Banaj,629,,,,,1,0
154,Bashkia Berat,629,,,,,1,0
155,Bashkia Bulqizë,610,,,,,1,0
156,Bashkia Devoll,630,,,,,1,0
157,Bashkia Divjakë,631,,,,,1,0
158,Bashkia Dropull,621,,,,,1,0
159,Bashkia Durrës,639,,,,,1,0
160,Bashkia Fier,631,,,,,1,0
161,Bashkia Finiq,634,,,,,1,0
162,Bashkia Himarë,634,,,,,1,0
163,Bashkia Kavajë,633,,,,,1,0
164,Bashkia Kelcyrë,621,,,,,1,0
165,Bashkia Klos,610,,,,,1,0
166,Bashkia Kolonjë,630,,,,,1,0
167,Bashkia Konispol,634,,,,,1,0
168,Bashkia Krujë,639,,,,,1,0
169,Bashkia Kurbin,609,,,,,1,0
170,Bashkia Kuçovë,629,,,,,1,0
171,Bashkia Lezhë,609,,,,,1,0
172,Bashkia Libohovë,621,,,,,1,0
173,Bashkia Maliq,630,,,,,1,0
174,Bashkia Mallakastër,631,,,,,1,0
175,Bashkia Malësi e Madhe,626,,,,,1,0
176,Bashkia Mat,610,,,,,1,0
177,Bashkia Memaliaj,621,,,,,1,0
178,Bashkia Mirditë,609,,,,,1,0
179,Bashkia Patos,631,,,,,1,0
180,Bashkia Poliçan,629,,,,,1,0
181,Bashkia Pukë,626,,,,,1,0
182,Bashkia Pustec,630,,,,,1,0
183,Bashkia Përmet,621,,,,,1,0
184,Bashkia Selenicë,634,,,,,1,0
185,Bashkia Shijak,639,,,,,1,0
186,Bashkia Skrapar,629,,,,,1,0
187,Bashkia Tepelenë,621,,,,,1,0
188,Bashkia Vau i Dejës,626,,,,,1,0
189,Bashkia Vlorë,634,,,,,1,0
190,Bashkia Vorë,633,,,,,1,0
191,Berat,629,,,,,1,0
192,Bilisht,630,,,,,1,0
193,Bulqizë,610,,,,,1,0
194,Burrel,610,,,,,1,0
195,Delvinë,634,,,,,1,0
196,Divjakë,631,,,,,1,0
197,Durrës,639,,,,,1,0
198,Durrës District,639,,,,,1,0
199,Ersekë,630,,,,,1,0
200,Fier,631,,,,,1,0
201,Fier-Çifçi,631,,,,,1,0
202,Fushë-Arrëz,626,,,,,1,0
203,Fushë-Krujë,639,,,,,1,0
204,Gjinkar,621,,,,,1,0
205,Gjirokastër,621,,,,,1,0
206,Himarë,634,,,,,1,0
207,Kamëz,633,,,,,1,0
208,Kavajë,633,,,,,1,0
209,Klos,610,,,,,1,0
210,Konispol,634,,,,,1,0
211,Koplik,626,,,,,1,0
212,Korçë,630,,,,,1,0
213,Krrabë,633,,,,,1,0
214,Krujë,639,,,,,1,0
215,Krumë,623,,,,,1,0
216,Ksamil,634,,,,,1,0
217,Kukës,623,,,,,1,0
218,Kurbnesh,609,,,,,1,0
219,Kuçovë,629,,,,,1,0
220,Këlcyrë,621,,,,,1,0
221,Lazarat,621,,,,,1,0
222,Laç,609,,,,,1,0
223,Leskovik,630,,,,,1,0
224,Lezhë,609,,,,,1,0
225,Libohovë,621,,,,,1,0
226,Libonik,630,,,,,1,0
227,Lushnjë,631,,,,,1,0
228,Maliq,630,,,,,1,0
229,Mamurras,609,,,,,1,0
230,Mborje,630,,,,,1,0
231,Memaliaj,621,,,,,1,0
232,Milot,609,,,,,1,0
233,Orikum,634,,,,,1,0
234,Patos,631,,,,,1,0
235,Patos Fshat,631,,,,,1,0
236,Peshkopi,610,,,,,1,0
237,Pogradec,630,,,,,1,0
238,Poliçan,629,,,,,1,0
239,Pukë,626,,,,,1,0
240,Përmet,621,,,,,1,0
241,Roskovec,631,,,,,1,0
242,Rrethi i Beratit,629,,,,,1,0
243,Rrethi i Bulqizës,610,,,,,1,0
244,Rrethi i Delvinës,634,,,,,1,0
146869,Buyerak-Popovsky,4916,,,,,1,0
146870,Bykovo Volgograd Oblast,4916,,,,,1,0
146871,Chernyshkovsky,4916,,,,,1,0
146872,Chiganaki 1-ye,4916,,,,,1,0
146873,Chiganaki 2-ye,4916,,,,,1,0
146874,Danilovka Volgograd Oblast,4916,,,,,1,0
146875,Dubovka,4916,,,,,1,0
146876,Elton,4916,,,,,1,0
146877,Fastov,4916,,,,,1,0
146878,Frolovo,4916,,,,,1,0
146879,Glubokovsky,4916,,,,,1,0
146880,Gorbatovsky,4916,,,,,1,0
146881,Gornaya Polyana,4916,,,,,1,0
146882,Gorodishche Volgograd Oblast,4916,,,,,1,0
146883,Ilovlya,4916,,,,,1,0
146884,Kalach-na-Donu,4916,,,,,1,0
146885,Kamyshin,4916,,,,,1,0
146886,Karpovsky,4916,,,,,1,0
146887,Kletskaya,4916,,,,,1,0
146888,Kolotsky,4916,,,,,1,0
146889,Kotelnikovo,4916,,,,,1,0
146890,Kotovo,4916,,,,,1,0
146891,Krasnoslobodsk,4916,,,,,1,0
146892,Krasny Yar Volgograd Oblast,4916,,,,,1,0
146893,Kumylzhenskaya,4916,,,,,1,0
146894,Leninsk,4916,,,,,1,0
146895,Log,4916,,,,,1,0
146896,Medveditsky,4916,,,,,1,0
146897,Mikhaylovka,4916,,,,,1,0
146898,Mikhaylovka Urban Okrug,4916,,,,,1,0
146899,Mitkin,4916,,,,,1,0
146900,Nekhayevskaya,4916,,,,,1,0
146901,Nikolayevsk,4916,,,,,1,0
146902,Nizhny Chir,4916,,,,,1,0
146903,Novoanninsky,4916,,,,,1,0
146904,Novonikolayevsky Volgograd Oblast,4916,,,,,1,0
146905,Novonikolskoe,4916,,,,,1,0
146906,Novy Rogachik,4916,,,,,1,0
146907,Oktyabrsky,4916,,,,,1,0
146908,Olkhovka Volgograd Oblast,4916,,,,,1,0
146909,Otruba,4916,,,,,1,0
146910,Pallasovka,4916,,,,,1,0
146911,Petrov Val,4916,,,,,1,0
146912,Poltavsky,4916,,,,,1,0
146913,Popovsky,4916,,,,,1,0
146914,Preobrazhenskaya Volgograd Oblast,4916,,,,,1,0
146915,Primorsk,4916,,,,,1,0
146916,Repino,4916,,,,,1,0
146917,Rogachev,4916,,,,,1,0
146918,Rubyozhny,4916,,,,,1,0
146919,Rudnya Volgograd Oblast,4916,,,,,1,0
146920,Russko-Osinovsky,4916,,,,,1,0
146921,Samoylovsky,4916,,,,,1,0
146922,Satarovsky,4916,,,,,1,0
146923,Savinka,4916,,,,,1,0
146924,Sebrovo,4916,,,,,1,0
146925,Serafimovich,4916,,,,,1,0
146926,Shirokov,4916,,,,,1,0
146927,Slashchyovskaya,4916,,,,,1,0
146928,Sovetsky District,4916,,,,,1,0
146929,Srednyaya Akhtuba,4916,,,,,1,0
146930,Staraya Poltavka,4916,,,,,1,0
146931,Surovikino,4916,,,,,1,0
146932,Svetly Yar,4916,,,,,1,0
146933,Tochilkin,4916,,,,,1,0
146934,Uryupinsk,4916,,,,,1,0
146935,Vodstroy,4916,,,,,1,0
146936,Volgograd,4916,,,,,1,0
146937,Volzhsky,4916,,,,,1,0
146938,Voroshilovskiy District Volgograd,4916,,,,,1,0
146939,Yelan,4916,,,,,1,0
146940,Zaplavnoye,4916,,,,,1,0
146941,Zhirnovsk,4916,,,,,1,0
146942,Ab Meshkin,4920,,,,,1,0
146943,Abarlaq-e Sofla,4920,,,,,1,0
146944,Abdalan,4920,,,,,1,0
146945,Abdol Rahim,4920,,,,,1,0
146946,Abrumand,4920,,,,,1,0
146947,Abshineh,4920,,,,,1,0
146948,Abu ol Fathabad,4920,,,,,1,0
146949,Aghcheh Qayah,4920,,,,,1,0
146950,Ahmadabad-e Tappeh,4920,,,,,1,0
146951,Ahu Tappeh,4920,,,,,1,0
146952,Ajin,4920,,,,,1,0
146953,Ajorlu,4920,,,,,1,0
146954,Akanlu,4920,,,,,1,0
146955,Akleh,4920,,,,,1,0
146956,Alan-e Sofla,4920,,,,,1,0
146957,Alanjeh,4920,,,,,1,0
146958,Alfavut,4920,,,,,1,0
146959,Aliabad-e Posht Shahr,4920,,,,,1,0
146960,Amirabad-e Kord,4920,,,,,1,0
146961,Amzajerd,4920,,,,,1,0
146962,Angoshteh,4920,,,,,1,0
146963,Anjir Baghi,4920,,,,,1,0
146964,Ansar ol Emam,4920,,,,,1,0
146965,Anuch,4920,,,,,1,0
146966,Aq Bolagh-e Aqdaq,4920,,,,,1,0
146967,Aq Bolagh-e Latgah,4920,,,,,1,0
146968,Aq Bolagh-e Morshed,4920,,,,,1,0
146969,Aq Chay,4920,,,,,1,0
146970,Aqa Bolaghi,4920,,,,,1,0
146971,Aqa Jan Bolaghi,4920,,,,,1,0
146972,Aqaj,4920,,,,,1,0
146973,Aqcheh Kharabeh,4920,,,,,1,0
146974,Aqchelu,4920,,,,,1,0
146975,Arges-e Sofla,4920,,,,,1,0
146976,Arikan,4920,,,,,1,0
146977,Arpa Darreh,4920,,,,,1,0
146978,Arteh Bolagh,4920,,,,,1,0
146979,Artiman,4920,,,,,1,0
146980,Arzan Fud,4920,,,,,1,0
146981,Arzuvaj,4920,,,,,1,0
146982,Asadabad,4920,,,,,1,0
146983,Ashmizan,4920,,,,,1,0
146984,Avarzaman,4920,,,,,1,0
146985,Azandarian,4920,,,,,1,0
146986,Aznahri,4920,,,,,1,0
146987,Baba Khanjar,4920,,,,,1,0
146988,Baba Pir,4920,,,,,1,0
146989,Baba Qasem,4920,,,,,1,0
146990,Babolqani,4920,,,,,1,0
146991,Bad Khvoreh,4920,,,,,1,0
146992,Bahar,4920,,,,,1,0
146993,Band Aman,4920,,,,,1,0
146994,Banesareh,4920,,,,,1,0
146995,Baraband,4920,,,,,1,0
146996,Bargecheh,4920,,,,,1,0
146997,Barreh Farakh,4920,,,,,1,0
146998,Barzul,4920,,,,,1,0
146999,Bashqurtaran,4920,,,,,1,0
147000,Bazeran,4920,,,,,1,0
147001,Behkandan,4920,,,,,1,0
147002,Belartu,4920,,,,,1,0
147003,Beshik Tappeh,4920,,,,,1,0
147004,Biaj,4920,,,,,1,0
147005,Biatan-e Sofla,4920,,,,,1,0
147006,Bid Korpeh-ye Sofla,4920,,,,,1,0
147007,Bid Korpeh-ye Vosta,4920,,,,,1,0
147008,Bifanaj,4920,,,,,1,0
147009,Bighash,4920,,,,,1,0
147010,Bish Aghaj,4920,,,,,1,0
147011,Bitervan,4920,,,,,1,0
147012,Borjaki,4920,,,,,1,0
147013,Boyukabad,4920,,,,,1,0
147014,Bozchalu,4920,,,,,1,0
147015,Bozineh Jerd,4920,,,,,1,0
147016,Bujin,4920,,,,,1,0
147017,Bustandar,4920,,,,,1,0
147018,Buyaqchi,4920,,,,,1,0
147019,Chahar Bolagh,4920,,,,,1,0
147020,Chal Boqa,4920,,,,,1,0
147021,Chaleh Kand,4920,,,,,1,0
147022,Charoq,4920,,,,,1,0
147023,Chasht Khvoreh,4920,,,,,1,0
147024,Chenari,4920,,,,,1,0
147025,Cheshmeh Malek,4920,,,,,1,0
147026,Cheshmeh Pahn-e Nanaj,4920,,,,,1,0
147027,Cheshmeh Qandab,4920,,,,,1,0
147028,Cheshmeh Qareh,4920,,,,,1,0
147029,Cheshmeh Qassaban,4920,,,,,1,0
147030,Cheshmeh Valad,4920,,,,,1,0
147031,Cheshmeh Zowraq,4920,,,,,1,0
147032,Choqa Sarahi,4920,,,,,1,0
147033,Chowtash,4920,,,,,1,0
147034,Chulak Qapanuri,4920,,,,,1,0
147035,Dahnejerd,4920,,,,,1,0
147036,Dali Chu,4920,,,,,1,0
147037,Damaq,4920,,,,,1,0
147038,Daqdaqabad,4920,,,,,1,0
147039,Dar Qeshlaq,4920,,,,,1,0
147040,Darani-ye Sofla,4920,,,,,1,0
147041,Darcham,4920,,,,,1,0
147042,Darreh Chenar,4920,,,,,1,0
147043,Darreh Mianeh-ye Sofla,4920,,,,,1,0
147044,Darreh Mirza,4920,,,,,1,0
147045,Darreh-ye Ebrahim,4920,,,,,1,0
147046,Darsibeh,4920,,,,,1,0
147047,Davijan,4920,,,,,1,0
147048,Deh Chaneh,4920,,,,,1,0
147049,Deh Dalian,4920,,,,,1,0
147050,Deh Ful,4920,,,,,1,0
147051,Deh Mianeh,4920,,,,,1,0
147052,Deh Nush,4920,,,,,1,0
147053,Deh Piaz,4920,,,,,1,0
147054,Deh-e Shaker,4920,,,,,1,0
147055,Dehnow-e Avarzaman,4920,,,,,1,0
147056,Dingeleh Kahriz,4920,,,,,1,0
147057,Do Rudan,4920,,,,,1,0
147058,Doraneh,4920,,,,,1,0
147059,Dorudgaran,4920,,,,,1,0
147060,Dow Baraleh,4920,,,,,1,0
147061,Dowlatabad-e Hajjilu,4920,,,,,1,0
147062,Dowlujerdin-e Bala,4920,,,,,1,0
147063,Durijan,4920,,,,,1,0
147064,Durnian,4920,,,,,1,0
147065,Emamzadeh Khatun,4920,,,,,1,0
147066,Emamzadeh Pir Nahan,4920,,,,,1,0
147067,Eskanan,4920,,,,,1,0
147068,Fahrumand,4920,,,,,1,0
147069,Famast,4920,,,,,1,0
147070,Famenin,4920,,,,,1,0
147071,Farasfaj,4920,,,,,1,0
147072,Farsban,4920,,,,,1,0
147073,Farvaz,4920,,,,,1,0
147074,Faryazan,4920,,,,,1,0
147075,Fasijan,4920,,,,,1,0
147076,Fiazaman,4920,,,,,1,0
147077,Firuzabad-e Sofla,4920,,,,,1,0
147078,Firuzan,4920,,,,,1,0
147079,Gamasa,4920,,,,,1,0
147080,Gamasb,4920,,,,,1,0
147081,Ganj Tappeh,4920,,,,,1,0
147082,Ganjab,4920,,,,,1,0
147083,Gashani,4920,,,,,1,0
147084,Gav Zaban,4920,,,,,1,0
147085,Gavkaran,4920,,,,,1,0
147086,Ghazyatan,4920,,,,,1,0
147087,Gholam Veys,4920,,,,,1,0
147088,Givaki,4920,,,,,1,0
147089,Giyan,4920,,,,,1,0
147090,Gol Darreh-ye Anuch,4920,,,,,1,0
147091,Gol Heydar,4920,,,,,1,0
147092,Golparabad,4920,,,,,1,0
147093,Golshir,4920,,,,,1,0
147094,Golushjerd,4920,,,,,1,0
147095,Gomush Bolagh,4920,,,,,1,0
147096,Gonbad Chay,4920,,,,,1,0
147097,Gonbad-e Kabud,4920,,,,,1,0
147098,Gostar,4920,,,,,1,0
147099,Gozal Abdal,4920,,,,,1,0
147100,Gug Qash,4920,,,,,1,0
147101,Gujak,4920,,,,,1,0
147102,Gulvand,4920,,,,,1,0
147103,Gunestan,4920,,,,,1,0
147104,Gur Gaz,4920,,,,,1,0
147105,Gurjiu,4920,,,,,1,0
147106,Gushalan,4920,,,,,1,0
147107,Gusheh-ye Kasavand,4920,,,,,1,0
147108,Hajji Kheder,4920,,,,,1,0
147109,Hajji Maqsud,4920,,,,,1,0
147110,Hajji Tu,4920,,,,,1,0
147111,Hamadan,4920,,,,,1,0
147112,Hamilabad,4920,,,,,1,0
147113,Hamzehlu-ye Sofla,4920,,,,,1,0
147114,Haramabad,4920,,,,,1,0
147115,Hasan Kusej,4920,,,,,1,0
147116,Hasan Teymur,4920,,,,,1,0
147117,Hasanabad-e Emam,4920,,,,,1,0
147118,Hasanabad-e Qush Bolagh,4920,,,,,1,0
147119,Hasanabad-e Sheverin,4920,,,,,1,0
147120,Heriraz,4920,,,,,1,0
147121,Hesar-e Qarah Baghi,4920,,,,,1,0
147122,Hesar-e Qujeh Baghi,4920,,,,,1,0
147123,Heydareh-ye Dar-e Emam,4920,,,,,1,0
147124,Heydareh-ye Posht-e Shahr,4920,,,,,1,0
147125,Hizaj,4920,,,,,1,0
147126,Holvar-e Sofla,4920,,,,,1,0
147127,Hom-e Khosrow,4920,,,,,1,0
147128,Horhoreh,4920,,,,,1,0
147129,Hoseynabad-e Bahar,4920,,,,,1,0
147130,Hoseynabad-e Nazem,4920,,,,,1,0
147131,Hoseynabad-e Shamlu,4920,,,,,1,0
147132,Hudaraj,4920,,,,,1,0
147133,Iraneh,4920,,,,,1,0
147134,Isti Bolagh,4920,,,,,1,0
147135,Jamishlu,4920,,,,,1,0
147136,Jaria,4920,,,,,1,0
147137,Javar Sajin,4920,,,,,1,0
147138,Jerbanlu,4920,,,,,1,0
147139,Jighi,4920,,,,,1,0
147140,Jijan Kuh,4920,,,,,1,0
147141,Jijian Rud,4920,,,,,1,0
147142,Jin Taraqayah,4920,,,,,1,0
147143,Juraqan,4920,,,,,1,0
147144,Kaboodrahang,4920,,,,,1,0
147145,Kahard,4920,,,,,1,0
147146,Kahkadan,4920,,,,,1,0
147147,Kahriz-e Baba Hoseyn,4920,,,,,1,0
147148,Kahriz-e Boqazi,4920,,,,,1,0
147149,Kahriz-e Hoseynabad-e Nazem,4920,,,,,1,0
147150,Kahriz-e Jamal,4920,,,,,1,0
147151,Kahriz-e Salim,4920,,,,,1,0
147152,Kal Kabud,4920,,,,,1,0
147153,Kalb Hesari,4920,,,,,1,0
147154,Kalilabad,4920,,,,,1,0
147155,Kamak-e Sofla,4920,,,,,1,0
147156,Kamar Boneh,4920,,,,,1,0
147157,Kamazan,4920,,,,,1,0
147158,Kand Halan,4920,,,,,1,0
147159,Kand Tappeh,4920,,,,,1,0
147160,Kand-e Bolaghi,4920,,,,,1,0
147161,Kangavar-e Kohneh,4920,,,,,1,0
147162,Karafs,4920,,,,,1,0
147163,Kark-e Sofla,4920,,,,,1,0
147164,Kartilabad,4920,,,,,1,0
147165,Kasavand,4920,,,,,1,0
147166,Kaslan Qayah,4920,,,,,1,0
147167,Kavanaj,4920,,,,,1,0
147168,Kesb,4920,,,,,1,0
147169,Keykaleh,4920,,,,,1,0
147170,Keyni Sayeh,4920,,,,,1,0
147171,Khabar Arkhi,4920,,,,,1,0
147172,Khaku,4920,,,,,1,0
147173,Khaleq Verdi,4920,,,,,1,0
147174,Khalil Kord,4920,,,,,1,0
147175,Kheradmand,4920,,,,,1,0
147176,Kheyr Qoli,4920,,,,,1,0
147177,Khomeygan,4920,,,,,1,0
147178,Khvajeh Hesar,4920,,,,,1,0
147179,Khvajeh Hoseyni,4920,,,,,1,0
147180,Khvajeh Kandi,4920,,,,,1,0
147181,Khvoshab-e Sofla,4920,,,,,1,0
147182,Kitu,4920,,,,,1,0
147183,Kohnush,4920,,,,,1,0
147184,Kolanjan,4920,,,,,1,0
147185,Konjineh,4920,,,,,1,0
147186,Kord Bolagh,4920,,,,,1,0
147187,Korzan,4920,,,,,1,0
147188,Kowzareh,4920,,,,,1,0
147189,Kuhani,4920,,,,,1,0
147190,Kur Kahriz,4920,,,,,1,0
147191,Kusaj Khalil,4920,,,,,1,0
147192,Kutah Darreh,4920,,,,,1,0
147193,Laleh Dan,4920,,,,,1,0
147194,Lalejin,4920,,,,,1,0
147195,Lamiyan,4920,,,,,1,0
147196,Latgah,4920,,,,,1,0
147197,Lavashan,4920,,,,,1,0
147198,Leyli Yadegar,4920,,,,,1,0
147199,Luluhar,4920,,,,,1,0
147200,Mahanabad,4920,,,,,1,0
147201,Mahbar,4920,,,,,1,0
147202,Mahdaviyeh,4920,,,,,1,0
147203,Mahnian,4920,,,,,1,0
147204,Malayer,4920,,,,,1,0
147205,Malek-e Ashtar,4920,,,,,1,0
147206,Malusan,4920,,,,,1,0
147207,Mangavi,4920,,,,,1,0
147208,Marvil,4920,,,,,1,0
147209,Maryanaj,4920,,,,,1,0
147210,Masjedin,4920,,,,,1,0
147211,Menjan,4920,,,,,1,0
147212,Mesinak,4920,,,,,1,0
147213,Meyvaleh,4920,,,,,1,0
147214,Mianzulan,4920,,,,,1,0
147215,Mihamleh-ye Sofla,4920,,,,,1,0
147216,Milab,4920,,,,,1,0
147217,Mirza Hesari,4920,,,,,1,0
147218,Mishen,4920,,,,,1,0
147219,Mobarakin,4920,,,,,1,0
147220,Mohajeran,4920,,,,,1,0
147221,Mohammadabad-e Chulak,4920,,,,,1,0
147222,Mohammadiyeh-e Sofla,4920,,,,,1,0
147223,Mohara,4920,,,,,1,0
147224,Mokarrabi,4920,,,,,1,0
147225,Molham Darreh,4920,,,,,1,0
147226,Molla Bodagh,4920,,,,,1,0
147227,Monavvar Tappeh,4920,,,,,1,0
147228,Morghabad,4920,,,,,1,0
147229,Mowdaran,4920,,,,,1,0
147230,Musa Bolaghi,4920,,,,,1,0
147231,Nahandar,4920,,,,,1,0
147232,Nahavand,4920,,,,,1,0
147233,Najafiyeh,4920,,,,,1,0
147234,Nakilabad,4920,,,,,1,0
147235,Nakin,4920,,,,,1,0
147236,Namileh,4920,,,,,1,0
147237,Nanaj,4920,,,,,1,0
147238,Nazul,4920,,,,,1,0
147239,Negar Khatun,4920,,,,,1,0
147240,Negarabad,4920,,,,,1,0
147241,Nehenjeh,4920,,,,,1,0
147242,Nesar,4920,,,,,1,0
147243,Neshar,4920,,,,,1,0
147244,Niyanj,4920,,,,,1,0
147245,Nosratabad-e Behraz,4920,,,,,1,0
147246,Nosratabad-e Laklak,4920,,,,,1,0
147247,Nurabad-e Simineh,4920,,,,,1,0
147248,Ojaq,4920,,,,,1,0
147249,Ommatlar,4920,,,,,1,0
147250,Oshtoran,4920,,,,,1,0
147251,Oshtorjin,4920,,,,,1,0
147252,Ovraqin,4920,,,,,1,0
147253,Owrteh Qamish,4920,,,,,1,0
147254,Owryad,4920,,,,,1,0
147255,Pahnabad,4920,,,,,1,0
147256,Panbeh Dar,4920,,,,,1,0
147257,Parluk,4920,,,,,1,0
147258,Parvaraq,4920,,,,,1,0
147259,Payandeh,4920,,,,,1,0
147260,Peyhan,4920,,,,,1,0
147261,Pileh Jin,4920,,,,,1,0
147262,Pir Anbar,4920,,,,,1,0
