id,name,description,status,is_deleted,company_id,create_date,modify_date
24,Review Controller,,1,0,,2026-04-03 15:35:52,2026-04-03 15:35:52
25,Job post,,1,0,,2026-04-10 18:26:04,2026-04-10 18:26:04
26,Employment Manager,,1,0,,2026-04-17 17:28:01,2026-04-17 17:28:01
27,Employee Manager,,1,0,,2026-04-17 17:49:53,2026-04-17 17:49:53
28,Review Manager,,1,0,,2026-04-17 17:52:11,2026-04-17 17:52:11
29,Roll Assign Manager,,1,0,,2026-04-17 17:54:22,2026-04-17 17:54:22
30,ghdfgh,,1,0,,2026-04-17 18:07:04,2026-04-17 18:07:04
31,zfgsd sdfghs,,1,0,,2026-04-17 18:11:09,2026-04-17 18:11:09
32,hrtywsrytwsrhsdfhs,,1,0,,2026-04-17 18:24:33,2026-04-17 18:24:33
33,gsfhs,,1,0,,2026-04-17 18:35:53,2026-04-17 18:35:53
34,aaaaaaaaaaaaaa,,1,0,,2026-04-17 18:36:33,2026-04-17 18:36:33
35,bbbbbbbbbbb,,1,0,,2026-04-17 18:38:59,2026-04-17 18:38:59
36,cccccccccccc,,1,0,,2026-04-17 18:39:35,2026-04-17 18:39:35
37,Reporting manager,,1,0,,2026-04-21 11:12:26,2026-04-21 11:12:26
38,Data entry operator,,1,0,,2026-04-21 11:25:15,2026-04-21 11:25:15
39,Aaaaaaaaa,,1,0,,2026-04-21 12:06:09,2026-04-21 12:06:09
40,aaaaaaaaaaaaa,,1,0,,2026-04-21 12:14:48,2026-04-21 12:14:48
41,Bbbbbbbbbbbbb,,1,0,,2026-04-21 12:18:56,2026-04-21 12:18:56
42,aaaaaaaa,,1,0,,2026-04-21 12:20:51,2026-04-21 12:20:51
43,Bbbbb,,1,0,,2026-04-21 12:46:52,2026-04-21 12:46:52
44,ccccccccc,,1,0,,2026-04-21 12:53:12,2026-04-21 12:53:12
45,Gggggggg,,1,0,,2026-04-21 13:03:39,2026-04-21 13:03:39
46,dddddddd,,1,0,,2026-04-21 15:13:01,2026-04-21 15:13:01
47,eeeeeeeeeeeee,,1,0,,2026-04-21 15:17:26,2026-04-21 15:17:26
48,ff,,1,0,,2026-04-21 15:17:49,2026-04-21 15:17:49
49,jkijijiu,,1,0,,2026-04-21 15:19:36,2026-04-21 15:19:36
50,ggggggg,,1,0,,2026-04-21 15:22:06,2026-04-21 15:22:06
51,Yash Managerrrrrrr,,1,0,,2026-04-21 15:49:15,2026-04-21 15:49:15
52,Yash Managerrrrrrrrrrrrr,,1,0,,2026-04-21 15:57:39,2026-04-21 15:57:39
53,Yash Managerrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,,1,0,,2026-04-21 15:59:47,2026-04-21 15:59:47
54,Eeeerrrrrr,,1,0,,2026-04-22 12:14:41,2026-04-22 12:14:41
55,Test 1,,1,0,,2026-04-22 15:03:01,2026-04-22 15:03:01
56,Testing 22,,1,0,,2026-04-22 15:05:53,2026-04-22 15:05:53
57,Testing33,,1,0,,2026-04-22 15:07:38,2026-04-22 15:07:38
58,New role check,,1,0,39256,2026-04-22 15:37:11,2026-04-22 15:37:11
59,Test 235,,1,0,38941,2026-05-04 17:46:51,2026-05-04 17:46:51
60,sgfssgsf,,1,0,39256,2026-05-07 12:38:57,2026-05-07 12:38:57
61,sgagfs sdg sfdg sdfg,,1,0,38941,2026-05-07 12:44:57,2026-05-07 12:44:57
62,asdgsdfg,,1,0,38941,2026-05-07 12:45:21,2026-05-07 12:45:21
63,Asdfasfd asfd af,,1,0,38941,2026-05-07 12:46:22,2026-05-07 12:46:22
74,final,,1,0,39311,2026-05-07 13:35:20,2026-05-07 13:35:20
75,rytfhjgfj,,1,0,38941,2026-05-07 13:41:04,2026-05-07 13:41:04
76,final 1,,1,0,39311,2026-05-07 14:38:56,2026-05-07 14:38:56
77,bxnxz,,1,0,38941,2026-05-07 15:02:18,2026-05-07 15:02:18
78,gsdfgf,,1,0,38941,2026-05-07 15:02:47,2026-05-07 15:02:47
79,Yash Managers.,,1,0,39256,2026-05-27 12:40:38,2026-05-27 12:40:38
80,Tech PM,,1,0,39256,2026-05-27 12:41:41,2026-05-27 12:41:41
81,Sales Team,,1,0,39072,2026-06-10 16:04:23,2026-06-10 16:04:23
82,testt,,1,0,40473,2026-07-10 13:40:59,2026-07-10 13:40:59
