id,experience,company,rating,review,doc,link,added_by,status,approved,expiry,show_review,is_deleted,show_home,create_date,modify_date
61,850,5688,5,"We started with one small kitchen and a big dream — to serve fresh, flavorful food to every home in Udaipur. Today, with 10+ digital food brands under one roof, we’re changing how Udaipur eats. Quality, speed, and customer love — that’s our recipe for success.\""\r\n#ChoudharyFoodHouse #CEOMessage #UdaipurFood #MukeshChoudhary",,https://linktr.ee/choudharyfoodhouse.official,0,1,1,2025-07-15 17:13:29,,0,0,2025-07-12 17:13:29,2025-07-12 17:13:29
62,850,5688,5,"Mukesh Choudhary is a dynamic leader whose vision has propelled Choudhary Food House Pvt. Ltd. into a trusted name in Udaipur’s food industry. His passion and hands-on approach drive innovation in cloud kitchen automation and elevate customer service standards. Committed to quality, team development, and local employment, he balances business growth with community impact. Mukesh exemplifies leadership with both heart and foresight, making him a commendable CEO. Highly recommended.",[],,1,1,1,2025-07-15 17:05:46,,0,0,2025-07-12 17:05:46,2025-07-12 17:08:04
63,885,13,3,test,[],,1,1,1,2025-07-27 12:19:50,,0,0,2025-07-24 12:19:50,2025-07-24 12:19:50
64,568,13,3,"This company offers an amazing environment with excellent career growth opportunities. Their projects are well-managed and provide valuable experience, making it an ideal choice for long-term career development. Highly recommended for professionals seeking a supportive and forward-thinking workplace.","[\""uploads\/document\/1754389590_f02b9390c968c35b076e.png\""]",https://www.collarcheck.com,0,1,1,,,0,0,2025-08-05 15:56:30,2025-08-05 15:56:30
65,634,653,5,"He's so confident employee where completed all task within timeline and deciated as well, I really proub to get this kind of candidate for our organisation. ",[],,1,1,1,2025-08-09 17:57:25,,0,0,2025-08-06 17:57:25,2025-08-06 17:57:25
66,637,2,4,"As a Software developer for CollarCheck, I am responsible for developing robust APIs, solving complex problems, and collaborating closely with the frontend team to develop new modules. Additionally, I am working admin panel to facilitate data analysis and generate insightful dashboards. My role requires strong coding skills, effective communication, and a focus on delivering scalable, efficient solutions to support the overall project goals.",,https://www.collarcheck.com,0,1,1,2025-09-07 15:44:59,0,0,0,2025-09-04 15:44:59,2025-09-04 15:44:59
67,1237,13,5,He can multitask like an entire team. A real one man army.,[],,1,1,0,2025-09-02 15:01:37,,0,0,2025-08-30 15:01:37,2025-08-30 15:01:37
68,634,653,4,Amazing,,,0,1,2,,,0,0,2025-09-04 18:09:22,2025-09-04 18:09:22
69,634,653,4,Amazing,,,0,1,2,,,0,0,2025-09-04 18:11:26,2025-09-04 18:11:26
70,1793,3357,5,Nice & Talented Guy,[],,1,1,1,2025-09-27 12:38:55,0,0,0,2025-09-24 12:38:55,2025-09-24 12:38:55
71,1793,3357,5,Nice work space of individual \r\nEnvironment is friendly,,,0,1,1,2025-09-27 12:40:14,0,0,0,2025-09-24 12:40:14,2025-09-24 12:40:14
72,455,2,5,"The customer’s issues were efficiently resolved, and a tailored solution was provided to meet their needs. The onboarding process was completed successfully. Overall, the project was managed professionally, ensuring customer satisfaction and smooth implementation.","[\""uploads\/document\/1758700670_cc04391588f8ff5b7ab2.jpg\""]",,0,1,0,,,0,0,2025-09-24 13:27:50,2025-09-24 13:27:50
73,634,653,4,Hi,,,0,1,1,2025-11-04 10:56:40,0,0,0,2025-11-01 10:56:40,2025-11-01 10:56:40
74,2998,653,5,Rudraksh Achived the sales tareget. we are happy for him,,,0,1,1,2025-11-04 14:04:09,0,0,0,2025-11-01 14:04:09,2025-11-01 14:04:09
75,422,2,4,txcfgc  cfgtcfg g,,,0,1,0,,,0,0,2025-11-06 18:07:19,2025-11-06 18:07:19
76,422,2,4,The employee was excellent and performed tasks efficiently. Demonstrated strong work ethic and reliability throughout. A valuable team member with consistent quality output. Highly recommended for future roles.,,,0,1,0,,,0,0,2025-11-06 18:24:46,2025-11-06 18:24:46
77,422,2,4,"An exceptional employee who consistently demonstrates responsibility and reliability. They eagerly embrace challenges and new tasks, showing adaptability and a proactive attitude. Their dedication and sensible approach contribute significantly to team success and overall productivity. A valuable asset to any organization.","[\""uploads\/document\/1762507815_c0b6e38ce0d197a84f89.jpg\""]",https://www.collarcheck.com,0,1,0,,,0,0,2025-11-07 15:00:15,2025-11-07 15:00:15
78,422,2,4,dsdsdsv sdds,"[\""uploads\/document\/1762511794_ff39d4b042b2199822dd.jpg\""]",https://www.collarcheck.com,0,1,0,,,0,0,2025-11-07 16:06:34,2025-11-07 16:06:34
79,123,2,4,"Managed performance marketing and led the marketing team to successfully execute Meta and Google Ads campaigns, achieving recordable results. Created impactful content and provided guidance for ad reel production, enhancing campaign effectiveness. Increased user engagement and website traffic through strategic marketing initiatives. Demonstrated strong leadership and expertise in digital advertising to drive measurable growth and brand visibility.",,,0,1,0,,,0,0,2025-11-20 12:31:54,2025-11-20 12:31:54
80,483,2,5,"Based on your working experience in collar check, you demonstrate strong attention to detail and accuracy, essential for quality control in this area. Your consistent performance ensures reliable product standards and enhances overall operational efficiency. Continued focus on improving inspection techniques and staying updated with industry best practices will further strengthen your expertise. Overall, your contribution is valuable and contributes positively to maintaining high-quality outputs. I would rate your experience as proficient and reliable.",,,0,1,0,,,0,0,2025-11-20 17:02:20,2025-11-20 17:02:20
81,2913,653,4,Test,[],,1,1,1,2025-12-04 11:49:25,0,0,0,2025-12-01 11:49:25,2025-12-01 11:49:25
82,455,2,5,"I efficiently resolve client issues by delivering clear, well-structured solutions. My approach prioritizes timely and practical problem-solving, ensuring high client satisfaction. I consistently demonstrate professionalism and a strong commitment to quality service, contributing to seamless sales operations and positive client relationships.","[\""uploads\/document\/1764657172_c38a00fe6815359f3e56.png\""]",,0,1,0,,,0,0,2025-12-02 12:02:52,2025-12-02 12:02:52
83,2912,653,4,Good Employee,"[\""uploads\/document\/1764831578_d06be718f8879b1842c4.png\""]",,1,1,1,2025-12-07 12:29:38,0,0,0,2025-12-04 12:29:38,2025-12-04 12:29:38
84,123,2,4,"Huge appreciation for managing our Meta Ads and Google Ads. His hard work, smart optimisation, and consistent monitoring have helped us achieve exactly the results we were aiming for. We truly appreciate the dedication, attention to detail, and performance he brings to every campaign. Great work and keep it up.",,,0,1,0,,,0,0,2025-12-05 11:55:53,2025-12-05 11:55:53
85,11,5,4,change my review 1 time,,,0,1,0,,,0,0,2025-12-29 11:37:49,2025-12-29 11:37:49
86,3657,1673,5,drhgsryrr,,setest,0,1,0,,,0,0,2026-01-15 16:42:23,2026-01-15 16:42:23
87,3657,1673,4,drhgsryrr,,setest,0,1,0,,,0,0,2026-01-15 16:42:57,2026-01-15 16:42:57
88,3657,1673,3,drhgsryrr,,setest,0,1,0,,,0,0,2026-01-15 16:43:11,2026-01-15 16:43:11
89,3657,1673,3,hello how r you,,setest,0,1,0,,,0,0,2026-01-15 16:43:41,2026-01-15 16:43:41
90,3625,38941,5,this is dummy testing review by rohan user account to company,"[\""uploads\/document\/f90806712666d086fee5337912b16e38c1bc29f1abe0005085bf3dd604e4d41e.pdf\""]",https://collarcheckbeta.com/employee/rohan-prajapati-cce160562,0,0,1,2026-01-31 12:01:48,0,0,0,2026-01-28 12:01:48,2026-01-28 17:23:16
91,3625,38941,5,test,"[\""uploads\/document\/80c59ea17e9601b8165266872483aa8d7e0eeab67b6d85e589ce1ec01e82f899.png\""]",https://collarcheckbeta.com/employee/rohan-prajapati-cce160562,0,1,1,2026-01-31 16:16:24,0,0,0,2026-01-28 16:16:24,2026-01-28 18:02:40
92,3625,38941,4,hey,,https://collarcheckbeta.com/employee,0,1,1,2026-01-31 16:57:49,0,0,0,2026-01-28 16:57:49,2026-01-28 18:03:14
93,3625,38941,5,dummy,,https://collarcheckbeta.com/employee/rohan-prajapati-cce160562,0,1,2,2026-01-19 12:27:36,0,0,0,2026-01-16 12:27:36,2026-01-16 12:27:36
94,3625,38941,5,8522154,,,0,1,2,2026-01-31 14:24:21,0,0,0,2026-01-28 14:24:21,2026-01-28 17:21:12
95,3625,38941,5,Company to user dummy review with 5 star rating,"[\""uploads\/document\/80c59ea17e9601b8165266872483aa8d7e0eeab67b6d85e589ce1ec01e82f899.png\""]",https://collarcheckbeta.com/employee/rohan-prajapati-cce160562,1,1,2,2026-01-19 18:19:33,0,0,0,2026-01-16 18:19:33,2026-01-16 18:19:33
96,3550,38844,4,test,[],,1,1,1,2026-01-20 16:14:46,0,0,0,2026-01-17 16:14:46,2026-01-17 16:15:37
97,3661,38941,5,testing review,"[\""uploads\/document\/80c59ea17e9601b8165266872483aa8d7e0eeab67b6d85e589ce1ec01e82f899.png\""]",https://collarcheckbeta.com/employee/rohan-prajapati-cce160562,1,1,0,2026-01-23 14:55:27,0,0,0,2026-01-20 14:55:27,2026-01-20 14:55:27
98,3682,39058,4,Test,"[\""uploads\/document\/9a951f31da3157bbe508022fd3548adb9de533bd9e4b101c22a3e441023cccd5.pdf\""]",https://linkedin/in/vivek,0,1,0,,,0,0,2026-01-21 15:19:34,2026-01-21 15:19:34
99,3682,39058,4,Test,"[\""uploads\/document\/9a951f31da3157bbe508022fd3548adb9de533bd9e4b101c22a3e441023cccd5.pdf\""]",https://linkedin/in/vivek,0,1,0,,,0,0,2026-01-21 15:20:30,2026-01-21 15:20:30
100,3683,1485,4,shdhdhh,,dhehhd,0,1,0,,,0,0,2026-01-21 15:21:53,2026-01-21 15:21:53
101,3676,2,4,dfeasFEASF,,awadr,0,1,0,,,1,0,2026-01-21 17:45:28,2026-01-21 17:45:28
102,3690,39072,4,sdgf sf sdf sd sdfs,,,0,1,1,2026-01-25 11:55:34,0,0,0,2026-01-22 11:55:34,2026-01-22 11:59:18
103,3690,39072,3,asdas,,,0,1,2,,,0,0,2026-01-22 12:01:18,2026-01-22 12:01:18
104,3642,653,4,test new test,,,0,1,1,,,0,0,2026-01-30 15:17:38,2026-01-30 15:17:38
105,3701,1673,4,sghjdhgjfdg,,gresagetge,0,1,0,,,1,0,2026-01-22 18:35:16,2026-01-22 18:35:16
106,3701,1673,4,sghjdhgjfdg,,gresagetge,0,1,0,,,1,0,2026-01-22 18:39:02,2026-01-22 18:39:02
107,3696,39072,4,test review,,,0,1,1,2026-04-03 15:24:51,0,0,0,2026-03-31 15:24:51,2026-03-31 15:24:51
108,568,13,5,fddf xcffdfdfd dffdfd dffdfd dffdfd dffddf,"[\""uploads\/document\/25d5f97fe165b3a6b8c9d3cbae2b1e934e01064cecee381af3d2b7e2ee515f4d.jpg\""]",https://www.collarcheck.com,0,1,1,,,0,0,2026-01-23 12:50:25,2026-01-23 12:50:25
109,3704,39072,4,Brilliant,,,0,1,1,2026-01-26 13:33:13,0,0,0,2026-01-23 13:33:13,2026-01-23 13:33:13
110,3690,39072,4,test,,,0,1,1,2026-03-06 11:12:26,0,0,0,2026-03-03 11:12:26,2026-03-03 11:12:26
111,3705,39072,4,Test ES S SG Sgsd gg a aa sag  af af sf,,,0,1,0,,,0,0,2026-01-23 14:59:14,2026-06-09 12:54:03
112,3696,39072,4,test revie for rmsi company,,,0,1,1,2026-01-31 12:45:57,0,0,0,2026-01-28 12:45:57,2026-01-28 12:45:57
113,3696,39072,4,test revie for rmsi company,,,0,1,1,2026-04-02 13:30:35,0,0,0,2026-03-30 13:30:35,2026-03-30 13:30:35
114,3669,38941,2,Deputy test review,"[\""uploads\/document\/7b15d74abe6cb78688642a35cfa3c7bbe1d5afd5aed0f9420c06fcff5c2d1acb.pdf\""]",https://collarcheckbeta.com/employee/rohan-prajapati-cce160562,0,1,1,2026-01-31 14:31:01,0,0,0,2026-01-28 13:31:01,2026-01-28 18:43:58
115,3642,653,4,check this review today,,,0,1,0,,,0,0,2026-01-31 13:12:38,2026-01-31 13:12:38
116,3704,39072,4,test,[],,1,1,1,2026-02-03 14:48:31,0,0,0,2026-01-31 14:48:31,2026-01-31 14:48:31
117,3704,39072,4,test,[],,1,1,1,2026-02-03 14:48:48,0,0,0,2026-01-31 14:48:48,2026-01-31 14:48:48
118,3710,39100,3,test review,,,0,1,1,2026-02-03 15:55:56,0,0,0,2026-01-31 15:55:56,2026-01-31 16:11:07
119,3655,39013,4,test zening,,,0,1,1,2026-02-03 16:28:52,0,0,0,2026-01-31 16:28:52,2026-01-31 16:36:41
120,3655,39013,5,test for review,,https://collarcheckbeta.com/employee,0,1,1,2026-02-09 12:33:19,0,0,0,2026-02-06 12:33:19,2026-02-06 12:33:19
121,3655,39013,4,test,,,0,1,2,,,0,0,2026-02-06 13:02:36,2026-02-06 13:02:36
122,3737,39081,5,He's brilliant to handle team and work hard to achieve his task.,[],,1,1,1,2026-02-09 16:50:10,0,0,0,2026-02-06 16:50:10,2026-02-06 16:50:10
123,3736,2,4,very good company,,dsf,0,1,0,,,0,0,2026-02-09 13:13:07,2026-02-09 13:13:07
124,3736,2,5,very good company zjvfd,,dsf,0,1,0,,,0,0,2026-02-09 13:13:57,2026-02-09 13:13:57
125,3736,2,3,for nbtesting only AJ skdkfj shfwsfh hsjkhdf bsjdfj basjdfjd bajbdjqwebd,,dsf,0,1,0,,,0,0,2026-02-09 13:14:45,2026-02-09 13:14:45
126,3736,2,3,for nbtesting only AJ skdkfj shfwsfh hsjkhdf bsjdfj basjdfjd bajbdjqwebd,,dsf,0,1,0,,,0,0,2026-02-09 13:19:22,2026-02-09 13:19:22
127,3736,2,4,testing,,sdcvd,0,1,0,,,0,0,2026-02-09 13:20:14,2026-02-09 13:20:14
128,3736,2,2,testing,,sd,0,1,0,,,0,0,2026-02-09 13:23:05,2026-02-09 13:23:05
129,3736,2,4,hello,,,0,1,0,,,0,0,2026-02-09 13:26:04,2026-02-09 13:26:04
130,3741,5,5,weerer,,,0,1,0,,,0,0,2026-02-09 17:07:28,2026-02-09 17:07:28
131,3741,5,3,addqw,,,0,1,0,,,0,0,2026-02-09 17:08:02,2026-02-09 17:08:02
132,3741,5,1,wqeqwq,,,0,1,1,,,0,0,2026-02-09 17:08:28,2026-02-09 17:08:28
133,3625,38985,5,good experience,[],,1,1,1,2026-02-14 17:13:27,0,0,0,2026-02-11 17:13:27,2026-02-11 17:13:27
134,3748,38985,3,asdfas asf af,[],,1,1,1,2026-02-14 18:14:24,0,0,0,2026-02-11 18:14:24,2026-02-11 18:14:24
135,3705,39072,5,Test,,,0,1,0,,,0,0,2026-02-11 18:20:44,2026-02-11 18:20:44
136,3705,39072,5,Hey Jadoo,,,0,1,1,2026-02-15 11:14:03,0,0,0,2026-02-12 11:14:03,2026-02-12 11:14:03
137,3705,39072,4,Test 1,,,0,1,1,2026-02-15 11:13:45,0,0,0,2026-02-12 11:13:45,2026-02-12 11:13:45
138,3705,39072,0,test,,,0,1,1,2026-04-10 12:13:06,0,0,0,2026-04-07 12:13:06,2026-04-07 12:13:06
139,3741,5,4,ghfghfh,,,0,1,0,,,0,0,2026-02-13 12:59:20,2026-02-13 12:59:20
140,3741,5,4,vdffvg,,,0,1,1,,,0,0,2026-02-13 13:03:01,2026-02-13 13:03:01
141,3741,5,4,bnbnjbg,,,0,1,0,,,0,0,2026-02-13 14:33:31,2026-02-13 14:33:31
142,3710,39100,5,review test,,,0,1,0,,,0,0,2026-02-13 16:09:52,2026-02-13 16:09:52
143,3655,39013,5,review test,,,0,1,1,2026-06-06 11:11:13,0,0,0,2026-06-03 11:11:13,2026-06-03 11:11:13
144,3669,38941,4,fgfgsdfgsdfgafg,,,0,1,0,,,0,0,2026-02-13 16:31:11,2026-02-13 16:31:11
145,3705,39072,1,Test,,,0,1,1,2026-04-10 11:40:54,0,0,0,2026-04-07 11:40:54,2026-04-07 11:40:54
146,3705,39072,1,Test,,,0,1,1,2026-04-09 17:09:47,0,0,0,2026-04-06 17:09:47,2026-04-06 17:11:29
147,3705,39072,5,Brialliant,,,0,1,0,,,0,0,2026-02-13 17:12:15,2026-02-13 17:12:15
148,3705,39072,5,Vivek,,,0,1,2,,,0,0,2026-02-13 17:13:02,2026-02-13 17:13:02
