id,company,job_title,template_name,job_description,slug,roles_responsibility,department,experience,skill,role_type,document,location,country,state,job_mode,tag,city,industry,designation,urgent,vacancy,posted_date,closing_date,salary,status,is_deleted,create_date,modify_date
24,39072,Marketing and event coordinator,Chief Operating,<p>fsfslfs&nbsp;fsfsl&nbsp;fjslf&nbsp;sf&nbsp;sfhslfjsfs&nbsp;s&nbsp;slfjslfj&nbsp;ffsfs</p>,marketing-and-event-coordinator-delhi-marketing-and-event-coordinator-0-1-years-0107266628,,463,2,[],2,,,101,4021,1,[],154228,190,11657,1,5,,,2,3,0,,2026-07-01 00:00:00
25,39072,Customer solutions manager,Product,<p>khkh</p>,customer-solutions-manager-delhi-customer-solutions-manager-10-12-years-3006268174,,373,8,[],2,,,101,4021,1,[],154084,333,10099,1,5,,,9,3,0,,2026-06-30 00:00:00
26,39081,QA Automation,QA Job,<p>Test 2</p>,qa-automation-delhi-healthcare-assistant-0-1-years-0302267513,,300,2,[],1,,,101,4021,1,[],,1,6421,0,1,,,0,3,0,,
27,39072,4652,New Template 6,<p>sfsfsfs fskfhs</p>,4652-1-2-years-0602269179,,544,3,[],2,,,101,0,2,[],,1,,0,2,,,0,3,0,,
28,39072,6646,New Template 7,<p>hffshf fsfs sjfslf jlsfjsl f</p>,6646-0-1-years-0702263750,,198,2,[],2,,,0,0,1,[],,1,,0,2,,,0,3,0,,2026-02-07 00:00:00
29,39256,Assistant project coordinator,Template 1,<p>ha a ffjffffs fsfs fhsfsfls fsjfsl fslfslfsjflsj sfjslfjslf sjflsfjslfsjflsflsfjsl fsjfsjfslfjslfs</p>,assistant-project-coordinator-assistant-project-coordinator-fresher-2402264386,,55,1,[],2,,,0,0,3,[],,333,11084,0,5,,,1,3,0,,
30,39286,Chairman & managing director,Template 1,<p>fakhfj fjlsfjslf sflsjfslfj sfjslfsjfls fjslf sjfslfjslf sjfjslfjslfj sjfslfjslfjslfjs fsjfslfjslfjlsjflsjlsjflsf sljflsjfs</p>,chairman-managing-director-delhi-chairman-managing-director-0-1-years-2402263645,,268,2,"[\""1266\"",\""6404\"",\""13623\"",\""14271\"",\""6597\""]",2,,,101,4021,1,[],154228,7,10667,0,30,,,0,3,0,,2026-02-24 00:00:00
31,39340,software engineer,new job,"Our company operates on a service-based workflow, seeking candidates skilled in both frontend and backend development. Ideal candidates should possess comprehensive knowledge of full-stack technologies to support diverse projects.\n\n- Candidates must be proficient in frontend and backend development.\n- Strong understanding of full-stack technologies is essential.\n- Ability to handle service-based project requirements effectively.",,,621,2,"[\""5706\""]",1,,,101,0,1,[],,7,3747,0,12,,,2,3,0,,
32,39072,QA Analyst,QA Analyst,Original text: Test Test test test test test Test Test Test Test\n\nRewritten and extended (30 words):\n\nTesting is essential to ensure reliability and functionality. Regular tests identify errors and improve performance. Effective testing leads to more robust and user-friendly outcomes.\n\nBullet options:\n- Consistent testing uncovers hidden issues early in development.\n- Thorough test processes enhance product stability and user satisfaction.\n- Automated tests save time while maintaining quality across updates.,qa-analyst-delhi-it-1-2-years-1203267639,,622,3,"[\""8191\"",\""13710\""]",1,,,101,4021,1,[],57655,184,13290,1,2,,,2,3,0,,2026-03-12 00:00:00
33,39072,QA Analyst,QA Tester,<p>Test test test test test test test test test Test test</p>,qa-analyst-delhi-cae-engineer-1-2-years-1203266175,,454,3,[],1,,,101,4021,1,[],154228,,1253,0,2,,,0,3,0,,
34,38941,Senior graphic and web designer,template-1,"<p>Lorem&nbsp;ipsum&nbsp;dolor&nbsp;sit&nbsp;amet,&nbsp;consectetuer&nbsp;adipiscing&nbsp;elit.&nbsp;Aenean&nbsp;commodo&nbsp;ligula&nbsp;eget&nbsp;dolor.&nbsp;Aenean&nbsp;massa.&nbsp;Cum&nbsp;sociis&nbsp;natoque&nbsp;penatibus&nbsp;et&nbsp;magnis&nbsp;dis&nbsp;parturient&nbsp;montes,&nbsp;nascetur&nbsp;ridiculus&nbsp;mus.&nbsp;Donec&nbsp;quam&nbsp;felis,&nbsp;ultricies&nbsp;nec,&nbsp;pellentesque&nbsp;eu,&nbsp;pretium&nbsp;quis,&nbsp;sem.&nbsp;Nulla&nbsp;consequat&nbsp;massa&nbsp;quis</p>",senior-graphic-and-web-designer-andaman-and-nicobar-islands-network-professional-5-7-years-1303262413,,122,6,"[\""13737\"",\""16311\""]",1,,,101,4023,1,[],154223,333,6654,1,2,,,6,3,0,,2026-03-13 00:00:00
35,39311,test 111,rk12,<p>test</p>,test-111-delhi-senior-tester-3-4-years-1905267244,,2216,4,"[\""5261\"",\""5264\"",\""18288\""]",1,,,101,4021,1,[],154228,1,1677,0,12,,,2,3,0,,2026-05-19 00:00:00
36,38941,Receiving supervisor,ui developers,<p>sfsdg fg a</p>,receiving-supervisor-delhi-1-2-years-2603268538,,,3,"[\""14923\""]",2,,,101,4021,1,[],,1,,0,3,,,0,3,0,,
37,38941,Ase,kartik2,<p>s as sda sdg d</p>,ase-delhi-1-2-years-2703269618,,,3,"[\""237\"",\""6862\"",\""10506\"",\""18818\""]",2,,,101,4021,1,[],154098,1,,0,22,,,3,3,0,,2026-03-27 00:00:00
38,39256,Flutter Developer,Template2,<p>this is for only testing</p>,flutter-developer-uttar-pradesh-0-1-years-0805262696,,105,2,"[\""8287\"",\""3622\"",\""19117\"",\""18071\""]",1,,,101,4022,3,[],57590,333,,0,5,,,1,3,0,,
39,39311,vivek,Vivek temp[ate1,<p>hfsdsf</p>,vivek-andhra-pradesh-1-2-years-0805269205,,,3,"[\""2915\"",\""8803\"",\""18191\""]",2,,,101,4017,2,[],57593,190,,0,52,,,2,3,0,,2026-05-08 00:00:00
40,39256,Data entry,Vivek template3,<p>thius. ismdcnksmvkldmlvv nkjvkmkfvw</p>,data-entry-uttar-pradesh-data-entry-fresher-0805265869,,453,1,"[\""9736\"",\""17378\"",\""17543\"",\""17777\""]",2,uploads/job/document/fd6b91ef16cfbcfe0b2903fa6d3a0bad579fe3df462ae289feab4b8af2dc3fe5.pdf,,101,4022,2,[],147429,333,598,0,6,,,2,3,0,,
41,38941,Owner and stylist,open job,<p>asd afg a dsf adsf</p>,owner-and-stylist-delhi-fresher-0805261535,,,1,"[\""2878\"",\""15429\"",\""17887\"",\""19202\""]",1,uploads/job/document/efe151892afac4f09f5d2e8386b0ccc4282ca36b9a6d02fbca53d67408c8a7ef.pdf,,101,4021,2,[],57655,333,,1,2,,,2,3,0,,2026-05-08 00:00:00
42,38941,Owner and stylist,open job 1122,<p>asd afg a f</p>,,,,1,"[\""2878\"",\""15429\"",\""17887\"",\""19202\""]",1,,,101,4017,1,[],57624,333,,1,4,,,2,3,0,,
43,38941,Deployment engineer,asdfasdf,<p><br/>2q345q a</p>,deployment-engineer-fresher-0805263604,,,1,[],1,,,0,0,1,[],,,,0,23,,,0,3,0,,
44,39256,"Director, communications",Vivek yadav,<p>This m msjfcsf mnkjhsikfkcnkswf</p>,director-communications-andaman-and-nicobar-islands-director-communications-fresher-0805263640,,511,1,"[\""4752\"",\""12822\""]",1,,,101,4023,1,[],57837,333,8745,0,90,,,1,3,0,,2026-05-08 00:00:00
45,39256,AI,AI template,<p>it is ai job in gurgoan</p>,ai-haryana-air-hostess-5-7-years-1905267055,,3,6,"[\""18071\"",\""18201\"",\""19232\""]",1,,,101,4007,1,[],154107,184,936,0,10,,,6,3,0,,2026-05-19 00:00:00
46,39256,QA Automation,QA Dev,<p>Need an QA test</p>,qa-automation-delhi-qa-enginee-3-4-years-2605269361,,34,4,"[\""15280\"",\""818\"",\""13709\""]",1,,,101,4021,1,[],154228,261,13348,0,2,,,3,3,0,,
47,39256,Cost manager,Yash template,<p>sgssgsgsg</p>,cost-manager-delhi-ndt-technician-0-1-years-2605267600,,242,2,"[\""19247\"",\""19248\"",\""19249\""]",2,,,101,4021,2,[],154223,286,2084,1,3,,,1,3,0,,
48,39256,Teachers aide,QA Fire,<p>F sfgs</p>,teachers-aide-fresher-2705262965,,,1,[],1,,,0,0,1,[],,,,0,4352,,,0,3,0,,
49,39256,Copy editor & correspondent,QA QA,<p>dfghd</p>,copy-editor-correspondent-fresher-2705266708,,,1,[],1,,,0,0,4,[],,,,0,345,,,0,3,0,,
50,39256,QA,QA Role,<p>Need QA tester</p>,qa-delhi-qa-manager-3-4-years-0106269864,,21,4,"[\""19271\"",\""19272\""]",1,,,101,4021,1,[],154168,148,466,1,2,,,3,3,0,,
51,40137,QA Engineer,QA Engineer,"<h2><strong>Job&nbsp;Summary</strong></h2><p>We&nbsp;are&nbsp;seeking&nbsp;a&nbsp;QA&nbsp;Engineer&nbsp;who&nbsp;will&nbsp;be&nbsp;responsible&nbsp;for&nbsp;designing,&nbsp;executing,&nbsp;and&nbsp;maintaining&nbsp;test&nbsp;plans&nbsp;and&nbsp;test&nbsp;cases.&nbsp;The&nbsp;ideal&nbsp;candidate&nbsp;will&nbsp;work&nbsp;closely&nbsp;with&nbsp;developers,&nbsp;product&nbsp;managers,&nbsp;and&nbsp;other&nbsp;stakeholders&nbsp;to&nbsp;identify&nbsp;issues&nbsp;and&nbsp;ensure&nbsp;the&nbsp;delivery&nbsp;of&nbsp;high-quality&nbsp;software.</p><h2><strong>Key&nbsp;Responsibilities</strong></h2><ul><li>Develop&nbsp;and&nbsp;execute&nbsp;manual&nbsp;and&nbsp;automated&nbsp;test&nbsp;cases.</li><li>Create&nbsp;and&nbsp;maintain&nbsp;test&nbsp;plans,&nbsp;test&nbsp;scenarios,&nbsp;and&nbsp;test&nbsp;documentation.</li><li>Identify,&nbsp;document,&nbsp;track,&nbsp;and&nbsp;verify&nbsp;software&nbsp;defects.</li><li>Collaborate&nbsp;with&nbsp;developers&nbsp;to&nbsp;resolve&nbsp;issues&nbsp;and&nbsp;improve&nbsp;product&nbsp;quality.</li><li>Participate&nbsp;in&nbsp;requirement&nbsp;reviews&nbsp;and&nbsp;provide&nbsp;feedback&nbsp;from&nbsp;a&nbsp;quality&nbsp;perspective.</li><li>Perform&nbsp;functional,&nbsp;regression,&nbsp;integration,&nbsp;and&nbsp;performance&nbsp;testing.</li><li>Contribute&nbsp;to&nbsp;continuous&nbsp;improvement&nbsp;of&nbsp;QA&nbsp;processes&nbsp;and&nbsp;testing&nbsp;standards.</li><li>Ensure&nbsp;releases&nbsp;meet&nbsp;quality&nbsp;standards&nbsp;before&nbsp;deployment.</li></ul>",qa-engineer-uttar-pradesh-qaqc-engineer-7-10-years-0206267708,,72,7,"[\""818\"",\""3789\"",\""5158\"",\""9395\"",\""11724\"",\""15280\"",\""17813\"",\""17849\"",\""19117\"",\""19273\""]",1,,,101,4022,3,[],133230,343,1913,1,8,,,3,3,0,,2026-06-02 00:00:00
52,40137,Market analyst,Market Analyst Vacany,"<h3>Job&nbsp;Description&nbsp;–&nbsp;Sales&nbsp;Executive</h3><p><strong>Job&nbsp;Title:</strong>&nbsp;Sales&nbsp;Executive</p><p><strong>Role&nbsp;Summary:</strong></p><p>&nbsp;The&nbsp;Sales&nbsp;Executive&nbsp;is&nbsp;responsible&nbsp;for&nbsp;generating&nbsp;leads,&nbsp;developing&nbsp;client&nbsp;relationships,&nbsp;presenting&nbsp;products&nbsp;or&nbsp;services,&nbsp;and&nbsp;closing&nbsp;sales&nbsp;opportunities.&nbsp;The&nbsp;ideal&nbsp;candidate&nbsp;possesses&nbsp;strong&nbsp;communication,&nbsp;negotiation,&nbsp;and&nbsp;customer&nbsp;relationship&nbsp;management&nbsp;skills.</p><p><strong>Key&nbsp;Responsibilities:</strong></p><ul><li>Identify&nbsp;and&nbsp;pursue&nbsp;new&nbsp;sales&nbsp;opportunities&nbsp;through&nbsp;prospecting,&nbsp;networking,&nbsp;and&nbsp;referrals.</li><li>Build&nbsp;and&nbsp;maintain&nbsp;relationships&nbsp;with&nbsp;existing&nbsp;and&nbsp;potential&nbsp;customers.</li><li>Understand&nbsp;customer&nbsp;requirements&nbsp;and&nbsp;recommend&nbsp;suitable&nbsp;products&nbsp;or&nbsp;services.</li><li>Conduct&nbsp;sales&nbsp;presentations,&nbsp;product&nbsp;demonstrations,&nbsp;and&nbsp;client&nbsp;meetings.</li><li>Prepare&nbsp;and&nbsp;negotiate&nbsp;proposals,&nbsp;quotations,&nbsp;and&nbsp;contracts.</li><li>Achieve&nbsp;individual&nbsp;and&nbsp;team&nbsp;sales&nbsp;targets.</li><li>Maintain&nbsp;accurate&nbsp;records&nbsp;of&nbsp;sales&nbsp;activities&nbsp;and&nbsp;customer&nbsp;interactions&nbsp;in&nbsp;CRM&nbsp;systems.</li><li>Monitor&nbsp;market&nbsp;trends,&nbsp;competitor&nbsp;activities,&nbsp;and&nbsp;customer&nbsp;feedback.</li><li>Collaborate&nbsp;with&nbsp;marketing,&nbsp;operations,&nbsp;and&nbsp;customer&nbsp;support&nbsp;teams&nbsp;to&nbsp;ensure&nbsp;customer&nbsp;satisfaction.</li><li>Provide&nbsp;regular&nbsp;sales&nbsp;forecasts&nbsp;and&nbsp;performance&nbsp;reports.</li></ul><p><strong>Required&nbsp;Qualifications:</strong></p><ul><li>Bachelor&#39;s&nbsp;degree&nbsp;in&nbsp;Business,&nbsp;Marketing,&nbsp;Sales,&nbsp;or&nbsp;a&nbsp;related&nbsp;field&nbsp;(preferred).</li><li>Proven&nbsp;experience&nbsp;in&nbsp;sales,&nbsp;business&nbsp;development,&nbsp;or&nbsp;customer-facing&nbsp;roles.</li><li>Strong&nbsp;communication,&nbsp;presentation,&nbsp;and&nbsp;negotiation&nbsp;skills.</li><li>Ability&nbsp;to&nbsp;build&nbsp;and&nbsp;maintain&nbsp;client&nbsp;relationships.</li><li>Proficiency&nbsp;in&nbsp;CRM&nbsp;tools&nbsp;and&nbsp;Microsoft&nbsp;Office&nbsp;applications.</li><li>Self-motivated&nbsp;with&nbsp;a&nbsp;results-oriented&nbsp;mindset.</li></ul><p><strong>Preferred&nbsp;Qualifications:</strong></p><ul><li>Experience&nbsp;in&nbsp;the&nbsp;relevant&nbsp;industry&nbsp;or&nbsp;market.</li><li>Knowledge&nbsp;of&nbsp;consultative&nbsp;selling&nbsp;techniques.</li><li>Track&nbsp;record&nbsp;of&nbsp;consistently&nbsp;meeting&nbsp;or&nbsp;exceeding&nbsp;sales&nbsp;targets.</li></ul><p></p>",market-analyst-fresher-0206265021,,,1,[],3,,,0,0,4,[],,,,0,4,,,0,3,0,,
53,40349,Data Engineer,Data Engineer Sample,"<p>A&nbsp;<strong>Data&nbsp;Engineer</strong>&nbsp;designs,&nbsp;builds,&nbsp;and&nbsp;maintains&nbsp;data&nbsp;pipelines&nbsp;and&nbsp;infrastructure&nbsp;that&nbsp;collect,&nbsp;process,&nbsp;and&nbsp;store&nbsp;large&nbsp;amounts&nbsp;of&nbsp;data.&nbsp;They&nbsp;ensure&nbsp;data&nbsp;is&nbsp;accurate,&nbsp;accessible,&nbsp;and&nbsp;ready&nbsp;for&nbsp;analysis&nbsp;by&nbsp;data&nbsp;scientists,&nbsp;analysts,&nbsp;and&nbsp;business&nbsp;teams.&nbsp;Common&nbsp;skills&nbsp;include&nbsp;SQL,&nbsp;Python,&nbsp;ETL&nbsp;processes,&nbsp;databases,&nbsp;cloud&nbsp;platforms,&nbsp;and&nbsp;big&nbsp;data&nbsp;technologies.</p><p></p><h4>Technical&nbsp;Skills</h4><ul><li>Programming:&nbsp;Python,&nbsp;SQL,&nbsp;Java,&nbsp;Scala</li><li>Databases:&nbsp;PostgreSQL,&nbsp;MySQL,&nbsp;SQL&nbsp;Server,&nbsp;Oracle</li><li>Big&nbsp;Data&nbsp;Technologies:&nbsp;Apache&nbsp;Spark,&nbsp;Hadoop,&nbsp;Kafka</li><li>Cloud&nbsp;Platforms:&nbsp;Amazon&nbsp;Web&nbsp;Services,&nbsp;Microsoft&nbsp;Azure,&nbsp;Google&nbsp;Cloud</li><li>Data&nbsp;Warehousing:&nbsp;Snowflake,&nbsp;Redshift,&nbsp;BigQuery</li><li>Workflow&nbsp;Orchestration:&nbsp;Airflow,&nbsp;Prefect</li><li>Version&nbsp;Control:&nbsp;Git</li></ul>",data-engineer-data-analyst-4-5-years-2306264376,,107,5,"[\""19256\"",\""19276\"",\""19278\"",\""19279\"",\""19366\""]",1,,,0,0,4,,,,968,0,5,,,0,3,0,,2026-06-23 00:00:00
54,39072,Php developer,QA Rock,<p>Need&nbsp;a&nbsp;PHP&nbsp;developer</p>,php-developer-delhi-qa-1-2-years-2306268286,,3,3,"[\""15280\"",\""19117\"",\""19381\""]",1,,,101,4021,1,,,1,13292,0,2,,,2,3,0,,
55,40349,Global product manager,template-123,<p>asfssff</p>,global-product-manager-bde-fresher-2306262160,,613,1,"[\""19117\"",\""19335\"",\""19390\"",\""19391\"",\""19392\""]",1,,,0,0,1,,,333,13167,0,5,,,0,3,0,,2026-06-23 00:00:00
56,40349,Project lead,11eq,<p>sfsfsf</p>,project-lead-fresher-2306268830,,,1,[],1,,,101,,1,,,,,0,8,,,0,3,0,,
57,40473,Qa analyst,QA SDET,<p>Need&nbsp;a&nbsp;quality&nbsp;Inspector</p>,qa-analyst-qa-0-1-years-2406267100,,3,2,"[\""15280\"",\""19345\"",\""19381\"",\""17378\""]",1,,,101,0,1,,,184,13292,1,2,,,2,3,0,,
58,40473,Soldier,template-1,<p>wflfjl;sj&nbsp;fp[sj&nbsp;alsfj[f&nbsp;j[awfjk</p>,soldier-senior-engineering-project-manager-fresher-2406263442,,,1,[],1,,,0,0,1,,,,12119,0,3,,,0,3,0,,
59,40505,Qa analyst,QA QA QA,<p>HI</p>,qa-analyst-delhi-qa-1-2-years-2906265719,,615,3,"[\""15280\"",\""19345\""]",1,,,101,4021,1,,,1,13292,1,2,,,1,3,0,,
60,39072,QA,SDET Engineer,<p>Need&nbsp;an&nbsp;QA</p>,qa-delhi-qa-analyst-1-2-years-3006261004,,3,3,"[\""15280\"",\""19117\"",\""19381\""]",1,,,101,4021,1,,,184,617,1,2,,,2,3,0,,
61,39072,Software engineer,software engineer,<p>fsfsfsfs</p>,software-engineer-warehouse-controller-1-2-years-3006267566,,617,3,"[\""17145\"",\""14821\"",\""19402\"",\""15156\"",\""19390\""]",1,,,0,0,1,,,,6148,0,1,,,0,3,0,,
62,40537,Php developer,QA SDET Dev,<p>Need&nbsp;a&nbsp;Inspector</p>,php-developer-delhi-qa-0-1-years-0107262040,,3,2,"[\""15280\"",\""19117\"",\""17378\""]",1,,,101,4021,1,,,1,13292,1,2,,,1,3,0,,
63,40473,fdg,testa,<p>&nbsp;g&nbsp;gag&nbsp;g&nbsp;ag</p>,fdg-delhi-manager-customer-service-1-2-years-0107265461,,198,3,"[\""15156\"",\""18051\"",\""19262\"",\""19391\"",\""19403\""]",1,,,101,4021,2,,,1,9655,0,3,,,2,3,0,,2026-07-01 00:00:00
64,40473,Diploma engineer,asda,<p>adas&nbsp;ad&nbsp;as</p>,diploma-engineer-buyer-0-1-years-0107263505,,531,2,"[\""19404\"",\""19405\"",\""19406\"",\""19407\""]",1,,,0,0,3,,,333,13,0,3,,,2,3,0,,
65,40473,Financial security advisor,sdfsd33,<p>asda&nbsp;svsv&nbsp;&nbsp;ssd</p>,financial-security-advisor-financial-security-advisor-3-4-years-0107269195,,619,4,"[\""19408\"",\""17887\"",\""17267\"",\""19409\""]",2,,,0,0,1,,,333,9955,0,323,,,1,3,0,,
66,39256,test 33,test 44,<p>ttet</p>,test-33-badghis-director-of-internal-audit-4-5-years-0807269827,,523,5,[],1,,,1,3871,2,,108,1,10139,0,34,,,3,3,0,,
